>>L<<English	,>>L<<Chinese
A	,埃
A	,调幅
A	,型性格
A D	,公元
A factor	,A　因素
A factor	,抽象因素
A fair days work	,合理的日工作量
A light source	,A　光源
a posterior	,后验的
a posteriori	,经验的
A Q	,成绩商数
A reaction	,A 反应
A type personality	,A 型人格
A	,BX
A	,chromosome
A	,S
A	,type
AA	,成就年龄
AAA	,急性焦虑发作
abacus	,算盘
abacus	,珠算
abandonment of aged	,弃老
abandonment reaction	,遗弃感
abandonment threat	,抛弃威胁
abarognosia	,辨重不能
abase	,自卑
abasement	,贬抑
abasia	,步瘫症
abasia	,步行失能
ABBA order	,ABBA
Abbe condenser	,阿贝氏聚焦镜
abbe effect	,神父效应
abbreviated drawing	,简图
abbreviated formula	,简写式
ABC method	,ABC
ABC of reaction time	,反应时ABC
ABC of sense impression	,初步感觉印象
abderite	,愚笨者
abdomen	,腹部
abdominal breath	,腹内呼吸
abdominal ganglion	,腹神经节
abdominal reflex	,腹壁反射
abdominal wall	,腹壁
abducent nerve	,外展神经
abduction	,外展
abductor	,外展肌
abecedarian	,初学者
abecedarian	,字母的
abepithymia	,感情淡漠
aberglaube	,迷信
aberrance	,畸变
aberrance	,离轨
aberrant behavior	,异常行为
aberrant	,畸变
aberration of light	,光行差
aberration rate	,畸变率
aberration	,像差
aberrometer	,像差计
abhor	,憎恶
abhorrence	,憎恶
abhorrent to reason	,反理性的
abhorrer	,嫌恶者
abient behavior	,回避行为
abient drive	,回避驱力
abient response	,回避反应
ability characteristics	,能力特征
ability compensation	,能力补偿
ability development	,能力发展!能力发展
ability distribution	,能力分配
ability group	,能力组
ability grouping	,能力分组
ability level	,能力水平
ability of cognizance	,认知能力
ability of imagination	,想象力
ability of managers	,管理者的能力
ability of memory	,记忆力
ability of taking criminal responsibility	,刑事责任能力
ability of thinking	,思维能力
ability rating	,能力分等
ability test	,能力测验
ability trait	,能力特质
ability	,task
ability	,能力
abiogenesis	,自然发生说
abiogenist	,自然发生论者
abionergy	,生活力缺损
abiophysiology	,无机生理学
abiosis	,生活力缺损
abiotic surround	,无生命环境
abiotic	,无生命的
abirritation	,应激性减弱
Abklingen	,残留感觉
ablation	,切除
ablaze	,激昂
able	,bodied
ablepsia	,视觉缺失
ablush	,脸红
ablutomania	,清洗癖
abmodality	,感觉形态异常
abmodality	,异相
